alpha,cache_ratio,round,strategy,topology,weight
0.7,0.05,3,WLRU,GEANT,1853.1746566666666
0.7,0.05,3,LCE-LRU,GEANT,1878.8562666666667
0.7,0.05,0,WLFU,GEANT,1799.5338766666666
0.7,0.05,2,NOCACHE,GEANT,2817.8005166666667
0.7,0.05,2,GRD,GEANT,2447.3200666666667
0.7,0.05,2,WLRU,GEANT,2625.198425
0.7,0.05,2,LCE-LFU,GEANT,2413.6394333333333
0.7,0.05,2,LCE-LRU,GEANT,2640.89085
0.7,0.05,1,GRD,GEANT,1590.1927666666666
0.7,0.05,1,NOCACHE,GEANT,1910.3085166666667
0.7,0.05,1,LCE-LFU,GEANT,1579.9893166666666
0.8,0.05,7,WLFU,GEANT,943.54671
0.7,0.05,1,WLRU,GEANT,1743.4832066666668
0.7,0.05,1,LCE-LRU,GEANT,1766.5411166666668
0.8,0.05,6,WLFU,GEANT,1825.826015
0.7,0.05,0,NOCACHE,GEANT,2247.8641166666666
0.7,0.05,0,GRD,GEANT,1890.7324833333332
0.7,0.05,0,LCE-LFU,GEANT,1868.9280333333334
0.7,0.05,0,WLRU,GEANT,2057.678303333333
0.7,0.05,0,LCE-LRU,GEANT,2078.5513
0.8,0.05,7,GRD,GEANT,1011.2318166666666
0.8,0.05,7,NOCACHE,GEANT,1356.5863
0.8,0.05,5,WLFU,GEANT,1514.7247883333334
0.8,0.05,7,LCE-LFU,GEANT,1011.2484833333333
0.8,0.05,7,WLRU,GEANT,1135.845725
0.8,0.05,7,LCE-LRU,GEANT,1165.0112
0.8,0.05,4,WLFU,GEANT,1499.4597433333333
0.8,0.05,6,NOCACHE,GEANT,2600.717833333333
0.8,0.05,6,GRD,GEANT,1949.5780166666666
0.8,0.05,6,WLRU,GEANT,2183.72501
0.8,0.05,5,GRD,GEANT,1612.3631333333333
0.8,0.05,6,LCE-LRU,GEANT,2213.1390333333334
0.8,0.05,6,LCE-LFU,GEANT,1898.67165
0.8,0.05,5,NOCACHE,GEANT,2095.0600833333333
0.8,0.05,5,LCE-LFU,GEANT,1596.0909833333333
0.8,0.05,3,WLFU,GEANT,1414.8792833333334
0.8,0.05,5,WLRU,GEANT,1778.209295
0.8,0.05,5,LCE-LRU,GEANT,1819.6347
0.8,0.05,4,GRD,GEANT,1597.7861
0.8,0.05,4,NOCACHE,GEANT,2135.296116666667
0.8,0.05,2,WLFU,GEANT,2131.116591666667
0.8,0.05,4,LCE-LFU,GEANT,1579.8726166666668
0.8,0.05,4,WLRU,GEANT,1792.319885
0.8,0.05,4,LCE-LRU,GEANT,1833.0460166666667
0.8,0.05,3,GRD,GEANT,1510.6295333333333
0.8,0.05,3,NOCACHE,GEANT,2093.33975
0.8,0.05,1,WLFU,GEANT,1314.46349
0.8,0.05,0,WLFU,GEANT,1585.0225283333334
0.8,0.05,3,WLRU,GEANT,1686.182775
0.8,0.05,3,LCE-LRU,GEANT,1726.2426
0.8,0.05,3,LCE-LFU,GEANT,1499.9413166666666
0.8,0.05,2,NOCACHE,GEANT,2815.2256666666667
0.8,0.05,2,GRD,GEANT,2234.29655
0.8,0.05,2,WLRU,GEANT,2439.9158483333335
0.8,0.05,2,LCE-LFU,GEANT,2192.0562
0.8,0.05,2,LCE-LRU,GEANT,2462.4035
0.8,0.05,1,GRD,GEANT,1408.7656333333334
0.8,0.05,1,NOCACHE,GEANT,1906.5848833333334
0.8,0.05,1,LCE-LFU,GEANT,1391.2406
0.8,0.05,0,GRD,GEANT,1689.9166833333334
0.8,0.05,1,WLRU,GEANT,1582.81938
0.8,0.05,1,LCE-LRU,GEANT,1617.8592333333333
0.8,0.05,0,LCE-LFU,GEANT,1659.9214333333334
0.8,0.05,0,NOCACHE,GEANT,2261.294066666667
0.8,0.05,0,WLRU,GEANT,1880.31528
0.9,0.004,7,WLFU,GEANT,1007.241975
0.8,0.05,0,LCE-LRU,GEANT,1913.7867666666666
0.9,0.004,7,WLRU,GEANT,1190.4966866666666
0.9,0.004,6,WLFU,GEANT,1924.7951483333334
0.9,0.004,7,NOCACHE,GEANT,1325.7193666666667
0.9,0.004,7,GRD,GEANT,1044.8276666666666
0.9,0.004,6,WLRU,GEANT,2280.227505
0.9,0.004,7,LCE-LRU,GEANT,1208.24185
0.9,0.004,7,LCE-LFU,GEANT,1049.8178666666668
0.9,0.004,5,WLFU,GEANT,1597.4033733333333
0.9,0.004,6,NOCACHE,GEANT,2592.794316666667
0.9,0.004,6,GRD,GEANT,1996.3133
0.9,0.004,5,WLRU,GEANT,1849.7199183333332
0.9,0.004,6,LCE-LRU,GEANT,2300.1648833333334
0.9,0.004,4,WLFU,GEANT,1582.17943
0.9,0.004,6,LCE-LFU,GEANT,1973.8250833333334
0.9,0.004,5,NOCACHE,GEANT,2075.5403
0.9,0.004,5,GRD,GEANT,1652.5222166666667
0.9,0.004,4,WLRU,GEANT,1870.0943483333333
0.9,0.004,5,LCE-LRU,GEANT,1878.9884333333334
0.9,0.004,5,LCE-LFU,GEANT,1650.1389166666668
0.9,0.004,3,WLFU,GEANT,1506.727655
0.9,0.004,4,NOCACHE,GEANT,2134.3076333333333
0.9,0.004,4,GRD,GEANT,1639.8439166666667
0.9,0.004,3,WLRU,GEANT,1770.8398
0.9,0.004,4,LCE-LRU,GEANT,1900.2028333333333
0.9,0.004,2,WLFU,GEANT,2226.91808
0.9,0.004,4,LCE-LFU,GEANT,1636.90545
0.9,0.004,3,NOCACHE,GEANT,2139.7095
0.9,0.004,3,GRD,GEANT,1560.372
0.9,0.004,2,WLRU,GEANT,2520.2036616666664
0.9,0.004,3,LCE-LRU,GEANT,1796.9148666666667
0.9,0.05,7,WLFU,TISCALI,1600.49879
0.9,0.004,3,LCE-LFU,GEANT,1561.5477333333333
0.9,0.004,2,NOCACHE,GEANT,2813.2321666666667
0.9,0.004,2,GRD,GEANT,2283.0293833333335
0.9,0.004,1,WLFU,GEANT,1393.388285
0.9,0.004,2,LCE-LFU,GEANT,2264.8854833333335
0.9,0.004,2,LCE-LRU,GEANT,2534.6389
0.9,0.004,1,GRD,GEANT,1456.3650166666666
0.9,0.004,1,NOCACHE,GEANT,1902.31485
0.9,0.004,1,WLRU,GEANT,1665.469605
0.9,0.004,0,WLFU,GEANT,1668.4275383333334
0.9,0.004,0,WLRU,GEANT,1973.9085783333333
0.9,0.004,1,LCE-LRU,GEANT,1694.3475333333333
0.9,0.004,1,LCE-LFU,GEANT,1448.7847
0.9,0.004,0,NOCACHE,GEANT,2279.5118333333335
0.9,0.004,0,GRD,GEANT,1724.8208833333333
0.9,0.05,7,GRD,TISCALI,1670.2027
0.9,0.05,6,WLFU,TISCALI,1667.6701183333332
0.9,0.004,0,LCE-LRU,GEANT,2000.2629833333333
0.9,0.004,0,LCE-LFU,GEANT,1718.1981166666667
